Scenario,GlobalPlanner,LocalPlanner,SweepParam,InflationFactor,PedCount,Seed,Status,Time(s),Distance(m),Smoothness(rad),CPU(%),Memory(%),Memory(MiB),TotalRAM(GiB)
dynamic,astar,apf,default,0.3,3,47453701,FAILURE,49.6790,0.1791,28.4212,52.99,0.14,45.83,31.28
dynamic,astar,apf,default,0.3,3,47453702,FAILURE,49.7334,0.1757,28.4639,54.09,0.14,45.53,31.28
dynamic,astar,apf,default,0.3,3,47453703,SUCCESS,40.0761,16.7543,9.6412,16.72,0.15,46.46,31.28
dynamic,astar,apf,default,0.3,3,47453704,FAILURE,44.4119,0.1839,41.1924,14.83,0.13,40.55,31.28
dynamic,astar,apf,default,0.3,3,47453705,FAILURE,49.3717,0.1637,26.2666,54.04,0.14,45.70,31.28
dynamic,astar,apf,default,0.3,3,47453706,FAILURE,51.5999,0.1672,27.0745,54.47,0.14,45.74,31.28
dynamic,astar,apf,default,0.3,3,47453707,SUCCESS,67.4457,24.5886,63.7701,13.76,0.14,44.15,31.28
dynamic,astar,apf,default,0.3,3,47453708,FAILURE,180.0031,51.1176,279.3584,10.16,0.13,42.09,31.28
dynamic,astar,apf,default,0.3,3,47453709,SUCCESS,32.0065,11.7574,22.4437,8.88,0.13,41.63,31.28
dynamic,astar,apf,default,0.3,3,47453710,FAILURE,50.3392,0.2045,32.4985,53.79,0.14,45.05,31.28
dynamic,astar,apf,default,0.3,3,47453711,SUCCESS,91.6096,36.8369,66.9026,22.62,0.14,46.31,31.28
dynamic,astar,apf,default,0.3,3,47453712,FAILURE,49.5955,0.1675,27.1479,53.65,0.14,46.30,31.28
dynamic,astar,apf,default,0.3,3,47453713,FAILURE,50.5921,0.1697,27.4714,54.63,0.14,46.40,31.28
dynamic,astar,apf,default,0.3,3,47453714,SUCCESS,32.0582,13.7258,12.3260,10.18,0.13,42.01,31.28
dynamic,astar,apf,default,0.3,3,47453715,FAILURE,180.0033,29.0952,1399.2821,11.46,0.14,45.98,31.28
dynamic,astar,apf,default,0.3,3,47453716,SUCCESS,16.9807,6.7334,7.0980,8.49,0.13,40.92,31.28
dynamic,astar,apf,default,0.3,3,47453717,SUCCESS,25.6944,9.9795,24.1807,8.92,0.13,40.70,31.28
dynamic,astar,apf,default,0.3,3,47453718,SUCCESS,69.3723,27.8244,45.2062,17.33,0.14,45.81,31.28
dynamic,astar,apf,default,0.3,3,47453719,SUCCESS,47.2093,18.3044,39.6607,9.18,0.13,42.34,31.28
dynamic,astar,apf,default,0.3,3,47453720,FAILURE,44.4121,0.1756,28.1375,12.38,0.13,40.91,31.28
dynamic,astar,apf,default,0.3,3,47453721,FAILURE,50.5330,0.2869,46.7908,54.65,0.15,46.61,31.28
dynamic,astar,apf,default,0.3,3,47453722,SUCCESS,20.6884,8.0684,19.7161,8.19,0.13,41.30,31.28
dynamic,astar,apf,default,0.3,3,47453723,FAILURE,49.7046,0.1729,27.7612,47.23,0.14,45.49,31.28
dynamic,astar,apf,default,0.3,3,47453724,FAILURE,44.7654,0.1639,26.5715,7.31,0.13,40.16,31.28
dynamic,astar,apf,default,0.3,3,47453725,FAILURE,44.5057,0.1629,27.2176,6.89,0.13,40.66,31.28
dynamic,astar,apf,default,0.3,3,47453726,FAILURE,44.8669,0.2067,32.4928,7.26,0.13,40.06,31.28
dynamic,astar,apf,default,0.3,3,47453727,SUCCESS,76.0056,29.7599,41.0992,22.21,0.14,45.12,31.28
dynamic,astar,apf,default,0.3,3,47453728,FAILURE,51.2534,0.1646,26.7852,54.01,0.14,45.56,31.28
dynamic,astar,apf,default,0.3,3,47453729,FAILURE,51.5870,0.2380,36.0071,53.95,0.14,45.76,31.28
dynamic,astar,apf,default,0.3,3,47453730,FAILURE,180.0037,37.1623,1033.5059,23.03,0.14,45.80,31.28
dynamic,astar,apf,default,0.3,3,47453731,SUCCESS,36.6659,14.1483,26.0590,11.86,0.14,45.80,31.28
dynamic,astar,apf,default,0.3,3,47453732,SUCCESS,62.0810,21.5432,73.1837,11.99,0.14,44.89,31.28
dynamic,astar,apf,default,0.3,3,47453733,FAILURE,50.6315,0.1740,27.6299,54.06,0.14,45.69,31.28
dynamic,astar,apf,default,0.3,3,47453734,FAILURE,50.7073,0.1646,26.7917,54.28,0.14,45.84,31.28
dynamic,astar,apf,default,0.3,3,47453735,SUCCESS,22.6914,9.4092,6.2756,18.29,0.14,46.18,31.28
dynamic,astar,apf,default,0.3,3,47453736,SUCCESS,89.1965,35.8191,36.5192,24.77,0.14,46.29,31.28
dynamic,astar,apf,default,0.3,3,47453737,FAILURE,51.9357,0.1791,28.2120,54.27,0.14,45.23,31.28
dynamic,astar,apf,default,0.3,3,47453738,SUCCESS,158.1146,40.8518,760.5155,18.89,0.15,47.78,31.28
dynamic,astar,apf,default,0.3,3,47453739,FAILURE,51.0585,0.1801,29.1593,53.02,0.14,46.22,31.28
dynamic,astar,apf,default,0.3,3,47453740,SUCCESS,50.9581,20.5836,29.2426,12.05,0.13,42.29,31.28
dynamic,astar,apf,default,0.5,3,1111275824,SUCCESS,41.8889,17.4863,3.9232,9.39,0.13,40.93,31.28
dynamic,astar,apf,default,0.5,3,1111275825,FAILURE,51.6911,0.1739,28.7538,54.59,0.15,48.33,31.28
dynamic,astar,apf,default,0.5,3,1111275826,SUCCESS,35.3781,13.4639,48.1909,10.69,0.13,42.03,31.28
